input_deg,output_deg,omega_output,alpha_output,transmission_deg,coupler_x,coupler_y
0.0,81.84642377262611,-0.5384615384615385,0.798639755153185,35.79845958619361,61.15212108316693,58.824455482829386
1.0,81.31501783463324,-0.5242653943245627,0.827839503063967,35.80439269466431,61.69730773676225,59.18744305633064
2.0,80.7980579202752,-0.5095744927814968,0.8553200293729462,35.822185105770124,62.22685295835066,59.54632282992938
3.0000000000000004,80.29602353528533,-0.49441957698372385,0.8809989045178518,35.851816110671336,62.740241227015595,59.90124721558541
4.0,79.80936275877835,-0.47883272078189226,0.9048061527381001,35.89325130782023,63.23698861148769,60.25237808960129
5.0,79.33849102252567,-0.4628471076114469,0.9266846526190259,35.94644277132131,63.71664401907624,60.59988481498628
6.000000000000001,78.88379011432119,-0.44649680394658753,0.9465903588715087,36.01132928382867,64.17879019174654,60.94394225915326
7.0,78.44560740931017,-0.42981653043547874,0.9644923468454468,36.08783663124637,64.62304444863292,61.284728830799494
8.0,78.02425533006655,-0.41284143376882493,0.9803726851926674,36.17587795581761,65.04905917790637,61.622424558538796
9.0,77.62001103320891,-0.3956068622074243,0.9942261456994819,36.2753541635754,65.45652208431315,61.957209232180986
10.0,77.23311631750863,-0.37814814750839654,1.0060597624937075,36.38615438160011,65.84515620179634,62.28926062555605
11.0,76.86377774581901,-0.3605003957526077,1.0158922555108336,36.508156460089445,66.21471968335345,62.61875281752499
12.000000000000002,76.51216697078698,-0.34269828929670304,1.0237533352200183,36.641227513900745,66.56500538262915,62.94585462537913
13.0,76.17842125224041,-0.32477590176231075,1.0296829071299272,36.785224497980906,66.89584024366297,63.27072816227514
14.0,75.86264415239444,-0.30676652764286977,1.033730195510578,36.9399948109501,67.2070845167031,63.593527527756386
14.999999999999998,75.5649063936126,-0.28870252776560773,1.0359528060977463,37.10537692105377,67.49863081905062,63.9143976378367
16.0,75.28524686239153,-0.2706151915023258,1.036415747329938,37.2812010087356,67.77040306053513,64.23347319862911
17.0,75.02367374251463,-0.2525346162869468,1.0351904289604619,37.46728962020921,68.022355253462,64.55087782514121
18.0,74.7801657599224,-0.23448960467821256,1.0323536557580253,37.66345832660467,68.25447022674552,64.86672330467292
19.0,74.55467352176055,-0.2165075789091776,1.0279866325360216,37.86951638353245,68.46675826349231,65.18110900227457
20.0,74.34712093226081,-0.198614512596515,1.0221739950154085,38.08526738623245,68.6592556805659,65.49412140397553
21.0,74.15740666855847,-0.1808348790460148,1.015002879110385,38.31050991584172,68.83202336769342,65.80583379199427
22.0,73.98540570021792,-0.16319161538844124,1.0065620392086632,38.54503817271912,68.98514530251558,66.11630604489193
23.0,73.83097083708985,-0.14570610161326644,0.9969410239710408,38.78864259319478,69.11872705667656,66.42558455463411
24.000000000000004,73.69393429112412,-0.1283981534366843,0.9862294161618931,39.04111044655013,69.23289430664576,66.7337022517731
25.0,73.57410923887807,-0.1112860278436096,0.9745161410970172,39.30222640948495,69.32779136149829,67.04067872943736
26.0,73.47129137265382,-0.09438644007920162,0.9618888465011516,39.57177311576793,69.40357971839308,67.34652045650648
27.0,73.38526042944348,-0.077714590831197,0.9484333549370528,39.84953167920189,69.46043665500797,67.65122107022944
28.0,73.31578168812419,-0.06128420233694757,0.9342331885234583,40.135282188447604,69.49855386674858,67.95476173859748
29.000000000000004,73.26260742660592,-0.04510756216515839,0.9193691644133638,40.42880417264312,69.51813615516427,68.25711158298057
29.999999999999996,73.22547833186796,-0.029195573458396545,0.9039190584611259,40.72987703712291,69.51940017269786,68.55822815185796
31.0,73.20412485700895,-0.013557810474961919,0.8879573336641704,41.03828046887503,69.50257322768061,68.85805793689573
32.0,73.19826852056516,0.0017974216657435976,0.871554929313922,41.353794811683244,69.46789215236853,69.15653692312291
33.0,73.2076231444099,0.01686302405489258,0.8547791063178718,41.67620141116973,69.41560223580728,69.45359116551654
34.0,73.231896027528,0.03163303882134884,0.8376933438442292,42.0052829301982,69.34595622241169,69.7491373849021
35.0,73.27078905385355,0.04610258256636,0.8203572822740184,42.340823635301916,69.25921337635465,70.04308357669528
36.0,73.32399973316848,0.06026777916988608,0.8028267074034361,42.68260965497911,69.15563861117315,70.33532962663931
37.0,73.39122217477838,0.074125692644777,0.7851535709023247,43.03042921084409,69.03550168341498,70.62576792831544
38.0,73.4721479943159,0.08767426062903695,0.7673860421836806,43.384072822740634,68.89907644866105,70.91428399781483
39.0,73.5664671545705,0.10091222902365632,0.7495685870563231,43.74333348901743,68.74664017785844,71.20075708154624
40.0,73.67386874171042,0.11383908820500355,0.7317420688016246,44.10800684323122,68.57847293158261,71.4850607537148
41.0,73.79404167865542,0.12645501116731309,0.7139438676207187,44.477891288592474,68.3948569896032,71.76706350053067
42.0,73.92667537767981,0.13876079388290188,0.6962080147277729,44.85278811149417,68.19607633295162,72.04662928869647
43.0,74.07146033458064,0.15075779810571546,0.6785653377065518,45.23250157547486,67.98241617557069,72.32361811617221
44.0,74.22808866694417,0.16244789678777063,0.6610436140921342,45.61683899696273,67.75416254255873,72.5978865436268
45.0,74.39625459918707,0.1738334222280187,0.6436677304796683,46.005610804130264,67.5116018919989,72.86928820535634
46.0,74.57565489714528,0.18491711702895486,0.6264598447912434,46.3986305801608,67.2550207773786,73.13767429878183
47.0,74.76598925504072,0.1957020878977115,0.6094395496457653,46.79571509219333,66.98470554764907,73.40289405193238
48.00000000000001,74.96696063767365,0.20619176229511268,0.5926240350716356,47.19668430716514,66.70094208204706,73.6647951685803
49.0,75.17827558067886,0.21638984790787102,0.5760282490758407,47.60136139572644,66.40401555689242,73.92322425091743
50.0,75.39964445164638,0.22630029489537926,0.5596650548343218,48.009572725344974,66.0942102416825,74.17802719985713
51.0,75.63078167484852,0.23592726084303123,0.5435453834966615,48.421147843663185,65.77180932192461,74.42904959320964
52.0,75.87140592223922,0.2452750783382438,0.5276783818031958,48.83591945311317,65.4370947462753,74.67613704211642
53.0,76.12124027330094,0.25434822507298593,0.5120715538951754,49.253723377733905,65.09034709568968,74.91913552624325
54.0,76.38001234621395,0.2631512963672476,0.4967308968594465,49.67439852307792,64.73184547241988,75.15789170832272
55.0,76.64745440271267,0.2716889800011234,0.4816610296894827,50.097786830034224,64.36186740683942,75.39225322871015
56.0,76.92330342888022,0.27996603323872543,0.46686531546582033,50.523733223337516,63.98068878020668,75.62206898067198
57.00000000000001,77.20730119401276,0.2879872619246319,0.4523459766625183,50.95208555547708,63.58858376161494,75.8471893671658
58.00000000000001,77.4991942895668,0.2957575015327219,0.4381042035737152,51.38269454666541,63.18582475750624,76.06746653989849
59.00000000000001,77.79873415008146,0.3032816000478155,0.4241402559272093,51.815413721472765,62.77268237225271,76.28275462146499
59.99999999999999,78.10567705784969,0.31056440256223333,0.41045355781178827,52.250099342686056,62.34942537843003,76.49290991137576
